,NAME,Population,stateNo,countyNo,County,Year
404,"Yolo County, California",207320.0,06,113,Yolo,2015
405,"Yuba County, California",73437.0,06,115,Yuba,2015
406,"Alameda County, California",1605217.0,06,001,Alameda,2016
407,"Alpine County, California",1184.0,06,003,Alpine,2016
408,"Amador County, California",36963.0,06,005,Amador,2016
409,"Butte County, California",223877.0,06,007,Butte,2016
410,"Calaveras County, California",44787.0,06,009,Calaveras,2016
411,"Colusa County, California",21361.0,06,011,Colusa,2016
412,"Contra Costa County, California",1107925.0,06,013,Contra Costa,2016
413,"Del Norte County, California",27628.0,06,015,Del Norte,2016
414,"El Dorado County, California",183000.0,06,017,El Dorado,2016
415,"Fresno County, California",963160.0,06,019,Fresno,2016
416,"Glenn County, California",27976.0,06,021,Glenn,2016
417,"Humboldt County, California",135182.0,06,023,Humboldt,2016
418,"Imperial County, California",178807.0,06,025,Imperial,2016
419,"Inyo County, California",18326.0,06,027,Inyo,2016
420,"Kern County, California",871337.0,06,029,Kern,2016
421,"Kings County, California",150261.0,06,031,Kings,2016
422,"Lake County, California",64076.0,06,033,Lake,2016
423,"Lassen County, California",31945.0,06,035,Lassen,2016
424,"Los Angeles County, California",10057155.0,06,037,Los Angeles,2016
425,"Madera County, California",153366.0,06,039,Madera,2016
426,"Marin County, California",259358.0,06,041,Marin,2016
427,"Mariposa County, California",17645.0,06,043,Mariposa,2016
428,"Mendocino County, California",87409.0,06,045,Mendocino,2016
429,"Merced County, California",265001.0,06,047,Merced,2016
430,"Modoc County, California",9033.0,06,049,Modoc,2016
431,"Mono County, California",14051.0,06,051,Mono,2016
432,"Monterey County, California",430201.0,06,053,Monterey,2016
433,"Napa County, California",140823.0,06,055,Napa,2016
434,"Nevada County, California",98639.0,06,057,Nevada,2016
435,"Orange County, California",3132211.0,06,059,Orange,2016
436,"Placer County, California",370571.0,06,061,Placer,2016
437,"Plumas County, California",18754.0,06,063,Plumas,2016
438,"Riverside County, California",2323892.0,06,065,Riverside,2016
439,"Sacramento County, California",1479300.0,06,067,Sacramento,2016
440,"San Benito County, California",58051.0,06,069,San Benito,2016
441,"San Bernardino County, California",2106754.0,06,071,San Bernardino,2016
442,"San Diego County, California",3253356.0,06,073,San Diego,2016
443,"San Francisco County, California",850282.0,06,075,San Francisco,2016
444,"San Joaquin County, California",714860.0,06,077,San Joaquin,2016
445,"San Luis Obispo County, California",278680.0,06,079,San Luis Obispo,2016
446,"San Mateo County, California",754748.0,06,081,San Mateo,2016
447,"Santa Barbara County, California",439395.0,06,083,Santa Barbara,2016
448,"Santa Clara County, California",1885056.0,06,085,Santa Clara,2016
449,"Santa Cruz County, California",270931.0,06,087,Santa Cruz,2016
450,"Shasta County, California",179228.0,06,089,Shasta,2016
451,"Sierra County, California",2931.0,06,091,Sierra,2016
452,"Siskiyou County, California",43668.0,06,093,Siskiyou,2016
453,"Solano County, California",429596.0,06,095,Solano,2016
454,"Sonoma County, California",497776.0,06,097,Sonoma,2016
455,"Stanislaus County, California",530561.0,06,099,Stanislaus,2016
456,"Sutter County, California",95406.0,06,101,Sutter,2016
457,"Tehama County, California",63015.0,06,103,Tehama,2016
458,"Trinity County, California",13180.0,06,105,Trinity,2016
459,"Tulare County, California",455769.0,06,107,Tulare,2016
460,"Tuolumne County, California",53864.0,06,109,Tuolumne,2016
461,"Ventura County, California",843110.0,06,111,Ventura,2016
462,"Yolo County, California",209671.0,06,113,Yolo,2016
463,"Yuba County, California",73897.0,06,115,Yuba,2016
464,"Modoc County, California",9017.0,06,049,Modoc,2017
465,"Merced County, California",267390.0,06,047,Merced,2017
466,"Lake County, California",64095.0,06,033,Lake,2017
467,"Mariposa County, California",17658.0,06,043,Mariposa,2017
468,"Yuba County, California",74644.0,06,115,Yuba,2017
469,"Contra Costa County, California",1123678.0,06,013,Contra Costa,2017
470,"Inyo County, California",18195.0,06,027,Inyo,2017
471,"Lassen County, California",31470.0,06,035,Lassen,2017
472,"Stanislaus County, California",535684.0,06,099,Stanislaus,2017
473,"Santa Barbara County, California",442996.0,06,083,Santa Barbara,2017
474,"Sonoma County, California",500943.0,06,097,Sonoma,2017
475,"Tehama County, California",63247.0,06,103,Tehama,2017
476,"Imperial County, California",179957.0,06,025,Imperial,2017
477,"Mono County, California",14058.0,06,051,Mono,2017
